,Name,Pos,Org,Top 100,Org Rk,Age_x,TJ Date,FB Type,FB,SL,CB,CH,CMD,RPM FB,RPM Break,Sits,Tops,FV,playerId,avg_fastest_speed,avg_spin,K/9,IP,BB/9,Age_y,ERA,height,weight,throws
90,A.J. Alexy,SIRP,TEX,,19,23.4666666,,Rise,60 / 60,,55 / 60,40 / 45,30 / 35,2250.0,2400.0,"['93', '97']",99.0,40+,22343,95.0,2325.0,11.4,127.1,5.31,—,3.816754937,"6' 4""",195,R
91,Ricky Vanasco,MIRP,TEX,,22,22.9888888,44095,Rise,55 / 60,,60 / 70,,35 / 40,2250.0,,"['92', '96']",98.0,40+,sa3004863,94.0,,12.15,74.1,4.98,—,2.663674715,"6' 3""",180,R
92,Avery Weems,MIRP,TEX,,24,24.3416666,,Tail,50 / 50,,55 / 60,45 / 50,30 / 40,,,"['92', '94']",96.0,40+,sa3010256,93.0,,11.08,60.1,2.1,—,2.08839889,"6' 2""",205,L
93,Antoine Kelly,SIRP,MIL,,17,21.8444444,,Tail,60 / 65,40 / 50,,30 / 45,30 / 50,2250.0,2250.0,"['93', '96']",98.0,40+,sa3011135,94.5,2250.0,12.98,31.2,2.6,—,2.842102239,"6' 5""",205,L
94,Max Lazar,SP,MIL,,20,22.35,1/1/2021,Rise,40 / 50,,40 / 45,55 / 60,45 / 55,2100.0,,"['86', '89']",91.0,40+,sa3005163,87.5,,10.24,153.0,2.18,—,3.235294118,"6' 3""",185,R
95,Peter Solomon,SP,HOU,,7,25.1472222,6/1/2019,,50 / 50,50 / 50,50 / 50,55 / 60,40 / 45,2350.0,2550.0,"['90', '94']",95.0,40+,20476,92.0,2450.0,10.66,108.1,3.0,—,2.326153013,"6' 4""",211,R
96,Tyler Ivey,MIRP,HOU,,8,25.4083333,,Rise,55 / 55,45 / 50,60 / 60,45 / 50,40 / 40,2350.0,2700.0,"['90', '92']",95.0,40+,20237,91.0,2525.0,11.14,164.0,2.85,—,2.469512253,"6' 4""",195,R
97,Forrest Whitley,MIRP,HOU,,9,24.0666666,3/17/2021,Rise,60 / 60,55 / 55,60 / 60,60 / 60,30 / 40,2500.0,2900.0,"['93', '97']",99.0,40+,sa917930,95.0,2700.0,12.56,86.0,6.38,—,6.697677538,"6' 7""",238,R
98,Shawn Dubin,SIRP,HOU,,12,26.0916666,,Rise,55 / 55,60 / 60,50 / 50,,40 / 40,2300.0,2750.0,"['92', '95']",97.0,40+,sa3007248,93.5,2525.0,11.7,140.0,4.37,—,3.792857091,"6' 1""",170,R
99,Reiss Knehr,MIRP,SDP,,7,24.9333333,,Tail,45 / 50,45 / 50,,50 / 55,40 / 45,,,"['91', '94']",95.0,40+,21541,92.5,,11.41,101.0,4.37,—,4.722772366,"6' 0""",205,R
100,Ryan Jensen,MIRP,CHC,,16,23.8777777,,Sink/Tail,70 / 70,45 / 50,,45 / 50,40 / 50,2550.0,2450.0,"['93', '96']",99.0,40+,sa3011496,94.5,2500.0,14.25,12.0,12.0,—,2.25,"6' 0""",180,R
101,Kohl Franklin,SP,CHC,,23,22.0833333,,,45 / 50,,50 / 55,55 / 60,35 / 50,2200.0,2700.0,"['90', '93']",95.0,40+,sa3008335,91.5,2450.0,10.76,50.2,5.2,—,3.019736653,"6' 4""",190,R
102,Cole Sands,SP,MIN,,17,24.2277777,,Tail,50 / 55,,55 / 55,45 / 50,40 / 45,2450.0,3000.0,"['91', '94']",96.0,40+,sa3008611,92.5,2725.0,10.01,97.1,2.32,—,2.681507725,"6' 3""",215,R
103,Caleb Kilian,SP,CHC,,25,24.3527777,,Tail,45 / 45,45 / 50,45 / 50,45 / 50,60 / 70,,,"['91', '93']",,40+,sa3011773,92.0,,9.56,16.0,1.69,—,0.0,"6' 4""",180,R
104,Julian Merryweather,SIRP,TOR,,8,29.9861111,3/10/2018,Rise,70 / 70,50 / 50,45 / 45,60 / 60,45 / 45,2200.0,2550.0,"['96', '98']",99.0,40+,16703,97.0,2375.0,10.5,6.0,3.0,—,9.0,"6' 4""",215,R
105,Riley Thompson,MIRP,CHC,,26,25.25,6/1/2015,,50 / 55,,55 / 60,45 / 45,40 / 45,2350.0,3000.0,"['92', '94']",96.0,40+,sa876287,93.0,2675.0,8.46,119.1,3.4,—,3.016760628,"6' 3""",205,R
106,Sem Robberse,SP,TOR,,9,19.9916666,,Rise,45 / 50,20 / 50,50 / 55,20 / 50,30 / 50,2400.0,2500.0,"['88', '81']",93.0,40+,sa3011735,84.5,2450.0,8.02,10.1,0.89,—,0.870970582,"6' 1""",160,R
107,Jonathan Bowlan,SP,KCR,,13,24.8555555,,Sink,50 / 55,50 / 55,,40 / 45,50 / 60,2250.0,2300.0,"['91', '95']",97.0,40+,sa3006973,93.0,2275.0,8.6,181.0,1.99,—,3.878453039,"6' 6""",240,R
108,Austin Cox,MIRP,KCR,,15,24.5305555,,Rise,45 / 50,50 / 50,50 / 50,50 / 55,30 / 40,2200.0,2450.0,"['89', '93']",95.0,40+,sa3007777,91.0,2325.0,9.88,164.0,3.07,—,2.963416426,"6' 4""",235,L
109,Brandon Williamson,MIRP,SEA,,9,23.5194444,,Rise,55 / 55,50 / 55,55 / 60,45 / 50,35 / 40,2250.0,2650.0,"['92', '95']",97.0,40+,sa3011494,93.5,2450.0,14.9,15.1,3.58,—,2.347831247,"6' 6""",210,L
110,Wyatt Mills,SIRP,SEA,,10,26.7055555,,Sink/Tail,50 / 50,55 / 55,,45 / 50,50 / 55,2050.0,2550.0,"['92', '94']",95.0,40+,20010,93.0,2300.0,10.69,105.2,3.59,—,3.917979823,"6' 3""",190,R
111,Aldo Ramirez,SP,WSN,,8,20.425,,Rise,45 / 50,45 / 50,,45 / 55,35 / 60,2150.0,2200.0,"['90', '95']",96.0,40+,sa3005371,92.5,2175.0,8.55,84.2,2.57,—,2.976376835,"6' 0""",191,R
112,Gerardo Carrillo,SIRP,WSN,,10,23.0722222,,Sink/Tail,60 / 65,50 / 55,50 / 50,45 / 55,30 / 40,2300.0,2650.0,"['93', '96']",99.0,40+,sa3002790,94.5,2475.0,8.38,146.0,5.61,—,3.821917808,"6' 0""",160,R
113,Seth Romero,MIRP,WSN,,11,25.4722222,8/30/2018,Sink,45 / 50,55 / 60,,55 / 60,40 / 40,2300.0,2300.0,"['91', '93']",96.0,40+,21333,92.0,2300.0,12.19,25.1,4.3,—,3.907899935,"6' 3""",225,L
114,Matt Cronin,SIRP,WSN,,12,24.0527777,,Rise,60 / 65,,55 / 60,40 / 45,40 / 45,2400.0,2550.0,"['93', '95']",96.0,40+,sa3011463,94.0,2475.0,16.77,22.0,4.91,—,0.818181818,"6' 2""",202,L
115,T.J. Sikkema,SP,NYY,,13,23.2055555,,Tail,45 / 50,50 / 55,,40 / 50,45 / 60,2250.0,2300.0,"['90', '94']",95.0,40+,sa3011191,92.0,2275.0,11.47,10.2,1.76,—,0.843747335,"6' 0""",221,L
116,Camilo Doval,SIRP,SFG,,16,24.2638888,,Cut,,55 / 55,,,20 / 30,2750.0,2700.0,"['93', '98']",99.0,40+,21992,95.5,2725.0,13.03,109.1,5.61,—,3.457318078,"6' 2""",185,R
117,William Holmes,SP,LAA,,11,20.8,,Tail,45 / 50,45 / 55,,45 / 55,30 / 50,2450.0,,"['88', '94']",95.0,40+,sa3007744,91.0,,14.19,24.1,8.59,—,5.178089362,"6' 3""",185,R
118,Stephen Ridings,SIRP,NYY,,17,26.1527777,,Sink,70 / 70,55 / 55,,,45 / 45,2300.0,2200.0,"['96', '98']",100.0,40+,22358,97.0,2250.0,13.05,91.0,5.24,—,5.241758242,"6' 8""",220,R
119,Sam Delaplane,SIRP,SFG,,21,26.5333333,4/13/2020,Rise,60 / 60,70 / 70,,,40 / 45,2150.0,2800.0,"['92', '95']",97.0,40+,sa3004222,93.5,2475.0,15.46,128.1,3.79,—,2.10389503,"5' 11""",175,R
120,Blake Rivera,SIRP,SFG,,22,23.75,,Cut,55 / 55,,70 / 70,40 / 40,40 / 40,2600.0,2800.0,"['92', '96']",97.0,40+,sa3008261,94.0,2700.0,9.67,94.0,5.46,—,4.691489362,"6' 5""",225,R
121,Levi Kelly,MIRP,ARI,,15,22.4027777,,Rise,45 / 50,60 / 70,50 / 50,,30 / 40,2250.0,2500.0,"['90', '94']",96.0,40+,sa3008500,92.0,2375.0,11.2,106.1,3.99,—,2.031354327,"6' 4""",205,R
122,Sean Hjelle,SP,SFG,,23,24.4222222,,None,50 / 50,,45 / 50,45 / 50,45 / 55,2500.0,2200.0,"['91', '94']",96.0,40+,sa3007989,92.5,2350.0,8.78,165.0,3.16,—,3.545454545,"6' 11""",215,R
123,Kervin Castro,SIRP,SFG,,24,22.6722222,5/1/2017,Rise,60 / 60,,50 / 55,,30 / 40,2250.0,,"['93', '96']",98.0,40+,21656,94.5,,8.31,68.2,2.38,—,2.621357864,"6' 0""",210,R
124,Jhosmer Alvarez,SIRP,ARI,,19,20.2777777,,Rise,50 / 55,,40 / 45,,35 / 40,2100.0,2200.0,"['92', '96']",98.0,40+,sa3005437,94.0,2150.0,8.59,66.0,3.55,—,3.272728691,"6' 1""",155,R
125,Justin Martinez,SP,ARI,,20,20.1916666,,Tail,55 / 60,45 / 50,,40 / 50,30 / 50,2350.0,2300.0,"['92', '96']",98.0,40+,sa3005864,94.0,2325.0,9.72,100.0,8.46,—,4.949999906,"6' 3""",180,R
126,Jared Solomon,SIRP,CIN,,13,24.3305555,11/22/2020,Tail,70 / 70,60 / 60,,,40 / 45,2350.0,2500.0,"['96', '98']",99.0,40+,sa3004589,97.0,2425.0,8.52,188.0,5.31,—,3.734042629,"6' 2""",192,R
127,Tony Santillan,SIRP,CIN,,15,24.4833333,,Tail,50 / 50,55 / 55,,45 / 50,40 / 45,2200.0,2600.0,"['91', '94']",96.0,40+,19926,92.5,2400.0,8.1,251.1,3.76,—,3.795760942,"6' 3""",240,R
128,Colin Peluse,MIRP,OAK,,9,23.3277777,,,55 / 60,55 / 60,,45 / 55,30 / 45,,,"['93', '96']",97.0,40+,sa3011126,94.5,,9.75,24.0,4.13,—,2.25,"6' 3""",230,R
129,Michael Grove,MIRP,LAD,,14,24.8083333,5/1/2017,Rise,55 / 60,45 / 50,55 / 55,40 / 40,45 / 50,2300.0,2500.0,"['90', '93']",95.0,40+,sa3008625,91.5,2400.0,12.83,51.2,3.52,—,6.096770442,"6' 3""",200,R
130,Tucker Davidson,MIRP,ATL,,9,25.5388888,,Rise,45 / 55,50 / 55,55 / 55,40 / 40,40 / 40,2200.0,2500.0,"['91', '95']",98.0,40+,19871,93.0,2350.0,8.46,248.0,4.5,—,3.120967742,"6' 2""",215,L
131,Hyun-il Choi,SP,LAD,,17,21.3666666,,Sink,45 / 50,,40 / 45,,45 / 60,2300.0,2150.0,"['90', '93']",95.0,40+,sa3009992,91.5,2225.0,9.83,65.0,2.63,—,2.630769231,"6' 2""",200,R
132,Robinson Ortiz,MIRP,LAD,,19,21.7638888,,Tail,50 / 55,,45 / 55,50 / 55,30 / 40,2200.0,2550.0,"['89', '94']",98.0,40+,sa3004006,91.5,2375.0,8.83,118.2,4.57,—,4.474721642,"6' 0""",190,L
133,Freddy Tarnok,SP,ATL,,12,22.875,,Rise,45 / 55,,50 / 55,45 / 55,35 / 50,2450.0,2275.0,"['89', '92']",96.0,40+,sa3005175,90.5,2362.5,8.55,183.1,4.57,—,4.418182676,"6' 3""",185,R
134,Nick Mikolajchak,SIRP,CLE,,21,23.8833333,,Rise,55 / 60,,55 / 60,50 / 55,40 / 50,2350.0,2900.0,"['90', '93']",95.0,40+,sa3010303,91.5,2625.0,12.96,25.0,1.08,—,0.36,"6' 2""",215,R
135,Josh Wolf,SIRP,CLE,,22,21.1055555,,Tail,50 / 60,35 / 55,50 / 60,40 / 45,30 / 45,2300.0,2350.0,"['92', '95']",97.0,40+,sa3011638,93.5,2325.0,13.5,8.0,1.13,—,3.375,"6' 2""",175,R
136,Cody Morris,MIRP,CLE,,23,24.9305555,6/2/2015,Tail,55 / 55,,50 / 55,50 / 50,40 / 45,2400.0,2400.0,"['92', '95']",98.0,40+,sa3008653,93.5,2400.0,11.22,89.0,3.24,—,4.348314607,"6' 5""",225,R
137,JoJo Romero,MIRP,PHI,,13,25.0555555,,Sink,55 / 55,50 / 55,,50 / 55,45 / 45,2250.0,2550.0,"['93', '95']",96.0,40+,19574,94.0,2400.0,7.93,218.0,4.09,—,4.830266439,"5' 10""",190,L
138,Taj Bradley,SP,TBR,,18,20.5527777,,Cut/Rise,55 / 60,50 / 55,,30 / 45,30 / 45,2400.0,2500.0,"['93', '97']",97.0,40+,sa3007839,95.0,2450.0,9.85,74.0,4.99,—,3.77027027,"6' 0""",180,R
139,Helcris Olivarez,SP,COL,,10,21.1694444,,Tail,55 / 60,,50 / 55,30 / 45,30 / 45,2350.0,2550.0,"['94', '96']",98.0,40+,sa3002965,95.0,2450.0,11.1,115.1,5.08,—,3.121385563,"6' 2""",192,L
140,Ryan Rolison,SP,COL,,13,24.2444444,,Cut/Rise,40 / 45,,60 / 60,40 / 50,35 / 45,2250.0,2600.0,"['89', '94']",96.0,40+,sa3008244,91.5,2425.0,9.34,160.0,2.87,—,3.937507369,"6' 2""",195,L
141,Nick Neidert,SP,MIA,,21,24.8861111,,,40 / 40,45 / 45,45 / 45,60 / 60,60 / 70,2300.0,2250.0,"['90', '93']",95.0,40+,18699,91.5,2275.0,8.73,206.2,2.84,—,3.614510165,"6' 1""",202,R
142,Kutter Crawford,SP,BOS,,18,25.5222222,,Rise,50 / 50,45 / 50,55 / 55,,50 / 55,2400.0,2400.0,"['91', '95']",96.0,40,20531,93.0,2400.0,9.97,232.0,4.15,—,3.375005827,"6' 1""",209,R
143,Alex Faedo,SP,DET,,16,25.9083333,12/28/2020,Tail,45 / 50,60 / 60,,40 / 45,55 / 60,2350.0,2700.0,"['90', '93']",95.0,40,sa829855,91.5,2525.0,9.3,236.1,2.74,—,3.96051334,"6' 5""",230,R
144,Michael Burrows,SIRP,PIT,,31,21.9194444,,Rise,50 / 55,,55 / 60,,30 / 40,2550.0,2800.0,"['90', '94']",96.0,40,sa3008517,92.0,2675.0,8.18,57.2,4.41,—,3.277454841,"6' 2""",183,R
145,Austin Roberts,SP,PIT,,34,23.2,,,50 / 55,,50 / 50,55 / 60,30 / 40,2250.0,,"['92', '95']",96.0,40,sa3010254,93.5,,8.55,40.0,2.48,—,2.7,"6' 0""",220,R
146,Frank German,RHP,BOS,,28,24.0472222,,Cut/Rise,60 / 65,40 / 50,,45 / 50,35 / 40,2200.0,2400.0,"['92', '96']",98.0,40,sa3007729,94.0,2300.0,10.37,111.1,3.97,—,3.556887304,"6' 2""",195,R
147,Paul Richan,SP,DET,,22,24.5361111,,Rise,40 / 40,40 / 40,45 / 45,45 / 50,55 / 60,2150.0,2200.0,"['89', '91']",93.0,40,sa3008025,90.0,2175.0,8.58,153.1,1.7,—,3.639128835,"6' 2""",200,R
148,Max Kranick,SP,PIT,,35,24.2166666,,Tail,50 / 55,45 / 50,,40 / 45,45 / 45,,,"['92', '96']",98.0,40,22175,94.0,,7.46,187.1,2.93,—,3.795380415,"6' 3""",215,R
149,Jacob Wallace,SIRP,BOS,,29,23.1555555,,Tail,45 / 50,50 / 60,,50 / 55,30 / 40,2500.0,2850.0,"['88', '93']",96.0,40,sa3010374,90.5,2675.0,12.43,21.0,4.29,—,1.285714286,"6' 1""",190,R
150,Jason Foley,SIRP,DET,,23,25.9388888,,Tail,65 / 65,45 / 45,,,40 / 40,2250.0,2200.0,"['94', '97']",100.0,40,19531,95.5,2225.0,8.8,44.0,4.7,—,3.886363636,"6' 4""",215,R
151,Grant Gambrell,MIRP,BOS,,30,23.8833333,,Rise/Tail,50 / 55,,55 / 60,45 / 50,30 / 40,2450.0,2550.0,"['91', '94']",96.0,40,sa3011129,92.5,2500.0,9.33,27.0,4.33,—,6.666666667,"6' 4""",220,R
152,Zack Hess,SIRP,DET,,24,24.6222222,,Rise,60 / 60,55 / 60,,40 / 45,40 / 45,2500.0,2550.0,"['93', '95']",97.0,40,sa3010777,94.0,2525.0,10.92,27.2,5.63,—,2.60240934,"6' 6""",216,R
153,Ricky DeVito,SP,PIT,,37,23.1333333,,0.0625,50 / 50,,45 / 50,,30 / 40,2200.0,,"['92', '95']",97.0,40,sa1116003,93.5,,8.7,36.2,4.97,—,3.436360478,"6' 2""",166,R
154,Brendan Cellucci,SIRP,BOS,,31,23.275,,Rise,60 / 60,,60 / 60,,20 / 35,,,"['94', '96']",97.0,40,sa3011710,95.0,,12.75,12.0,6.0,—,5.25,"6' 4""",200,L
155,Santiago Florez,SIRP,PIT,,38,21.4166666,,Rise,50 / 60,,50 / 60,,30 / 45,2400.0,2800.0,"['92', '94']",95.0,40,sa3003026,93.0,2600.0,7.52,85.0,5.61,—,3.811764706,"6' 5""",222,R
156,Kevin Gowdy,SP,TEX,,26,23.8972222,8/15/2017,,45 / 50,50 / 55,,40 / 45,45 / 50,,,"['90', '94']",,40,sa917928,92.0,,6.19,77.0,6.31,—,4.675324675,"6' 4""",170,R
157,Blake Cederlind,SIRP,PIT,,40,25.7638888,3/23/2021,Sink,60 / 60,50 / 50,,,30 / 35,2150.0,2000.0,"['96', '98']",100.0,40,20344,97.0,2075.0,9.0,109.0,5.45,—,3.46789094,"6' 4""",215,R
158,Wilkel Hernandez,SP,DET,,28,22.4888888,11/15/2020,Rise,50 / 55,,50 / 55,40 / 50,35 / 50,2350.0,2550.0,"['90', '93']",96.0,40,sa918026,91.5,2450.0,8.15,149.0,3.32,—,4.167794465,"6' 3""",195,R
159,Durbin Feltman,SIRP,BOS,,35,24.475,,Rise,55 / 60,55 / 55,45 / 50,,35 / 40,2300.0,2350.0,"['92', '95']",96.0,40,sa3007959,93.5,2325.0,10.92,74.2,4.73,—,4.2187537,"6' 1""",208,R
160,Steven Jennings,SP,PIT,,43,22.9055555,,Rise,40 / 45,50 / 55,45 / 50,35 / 45,35 / 60,2500.0,3000.0,"['88', '92']",93.0,40,sa3004812,90.0,2750.0,7.75,195.1,3.37,—,4.745734653,"6' 2""",175,R
161,Dylan File,SP,MIL,,22,25.3472222,,Rise,40 / 40,50 / 55,50 / 50,55 / 55,55 / 60,2250.0,2700.0,"['88', '92']",92.0,40,sa3004197,90.0,2475.0,7.95,283.1,2.1,—,3.589416082,"6' 1""",205,R
162,Victor Castaneda,MIRP,MIL,,24,23.1166666,,Sink,45 / 45,,45 / 45,55 / 55,40 / 45,2150.0,,"['91', '94']",95.0,40,sa978399,92.5,,9.19,91.1,3.06,—,4.828468834,"6' 1""",185,R
163,Glenn Otto,SIRP,TEX,,34,25.5777777,,Rise,55 / 55,,55 / 60,,35 / 40,2400.0,2650.0,"['92', '94']",96.0,40,21366,93.0,2525.0,10.37,71.2,5.69,—,3.265119263,"6' 5""",240,R
164,Ryan Garcia,SP,TEX,,36,23.7083333,43891,Rise,40 / 40,50 / 55,45 / 45,40 / 45,30 / 50,2300.0,2350.0,"['91', '93']",94.0,40,sa3011190,92.0,2325.0,14.4,5.0,3.6,—,3.6,"6' 0""",180,R
165,Justin Topa,SIRP,MIL,,27,30.5888888,5/1/15*,Tail,70 / 70,60 / 60,,,30 / 30,2100.0,2600.0,"['96', '98']",100.0,40,15145,97.0,2350.0,8.44,84.2,3.1,—,5.208661207,"6' 4""",200,R
166,Alex Speas,SIRP,TEX,,42,23.5972222,6/25/2018,,70 / 70,,70 / 70,,20 / 30,2350.0,2700.0,"['95', '97']",99.0,40,sa917945,96.0,2525.0,15.72,29.2,7.09,—,2.123593094,"6' 4""",225,R
167,Cole Uvila,SIRP,TEX,,43,27.6916666,1/1/2016,Rise,50 / 50,,60 / 60,55 / 55,30 / 40,2550.0,,"['91', '94']",96.0,40,sa3006804,92.5,,13.39,96.1,5.62,—,1.961936383,"6' 3""",206,R
168,Nic Laio,SIRP,TEX,,44,24.1972222,,Tail,50 / 50,50 / 60,,35 / 45,45 / 50,,,"['93', '94']",95.0,40,sa3009861,93.5,,11.55,45.2,2.19,—,3.744522941,"6' 5""",205,R
169,Austin Hansen,SIRP,HOU,,18,25.1222222,,,55 / 55,55 / 55,,50 / 55,35 / 40,,,"['93', '95']",96.0,40,sa3006956,94.0,,12.54,124.2,5.14,—,2.021389828,"6' 0""",204,R
170,Angel Macuare,SP,HOU,,19,21.6,,Rise,45 / 50,45 / 50,55 / 55,40 / 45,35 / 45,2250.0,2350.0,"['89', '91']",94.0,40,sa3003039,90.0,2300.0,9.51,70.0,5.66,—,4.499999877,"6' 2""",250,R
171,Jojanse Torres,SIRP,HOU,,20,26.1805555,,Rise/Tail,60 / 60,55 / 55,,50 / 50,35 / 35,2400.0,2350.0,"['94', '97']",99.0,40,sa3006955,95.5,2375.0,10.32,135.2,4.13,—,1.85749337,"6' 2""",175,R
172,Carlos Guarate,SP,SDP,,15,20.525,,,45 / 45,,50 / 55,40 / 50,35 / 50,2300.0,2400.0,"['88', '91']",93.0,40,sa3006127,89.5,2350.0,7.54,75.2,2.63,—,2.259910945,"6' 2""",178,R
173,Efrain Contreras,SP,SDP,,16,21.7694444,,,50 / 50,45 / 50,,55 / 60,35 / 55,,,"['92', '94']",97.0,40,sa3005692,93.0,,9.96,178.0,2.83,—,3.033702761,"5' 10""",210,R
174,Sam McWilliams,SIRP,SDP,,19,26.0972222,,Tail,60 / 60,50 / 55,,,30 / 40,2500.0,2500.0,"['94', '97']",98.0,40,sa829124,95.5,2500.0,8.09,269.1,4.01,—,4.243815508,"6' 7""",230,R
175,Steven Wilson,SIRP,SDP,,20,27.125,2/1/2016,Rise,60 / 60,55 / 55,,30 / 30,40 / 45,2450.0,2750.0,"['91', '95']",97.0,40,sa3006795,93.0,2600.0,11.75,72.0,4.0,—,3.25,"6' 3""",221,R
176,Reggie Lawson,SIRP,SDP,,21,24.1861111,3/20/2020,,50 / 55,,55 / 55,45 / 50,35 / 45,2200.0,2300.0,"['92', '95']",97.0,40,sa917951,93.5,2250.0,9.55,144.2,4.12,—,4.790321465,"6' 4""",205,R
177,Javy Guerra,SIRP,SDP,,22,26.0388888,,,65 / 65,45 / 55,,,35 / 45,2450.0,2600.0,"['96', '98']",100.0,40,17292,97.0,2525.0,12.8,21.1,4.27,—,3.375000503,"5' 11""",185,R
178,Chris Vallimont,SP,MIN,,20,24.5583333,,Rise,45 / 45,45 / 50,45 / 50,40 / 50,40 / 50,2350.0,2600.0,"['89', '93']",95.0,40,sa3008026,91.0,2475.0,9.8,156.2,3.69,—,3.791491039,"6' 5""",220,R
179,Michael McAvene,SIRP,CHC,,32,24.125,4/1/2017,,65 / 70,50 / 55,,,35 / 40,2300.0,2450.0,"['94', '98']",100.0,40,sa3011727,96.0,2375.0,14.75,12.2,5.16,—,1.421048851,"6' 3""",210,R
180,Blayne Enlow,MIRP,MIN,,26,22.55,6/11/2021,Sink,50 / 50,50 / 50,,45 / 50,40 / 45,2300.0,2550.0,"['91', '94']",96.0,40,sa3005117,92.5,2425.0,7.32,204.2,4.05,—,3.561890424,"6' 3""",200,R
181,Bowden Francis,SP,TOR,,15,25.4638888,,Rise,50 / 50,55 / 55,45 / 45,45 / 50,50 / 55,2600.0,2600.0,"['92', '94']",95.0,40,sa918451,93.0,2600.0,9.03,270.2,3.53,—,4.222901087,"6' 5""",225,R
182,Hunter Bigge,SIRP,CHC,,33,23.325,,Rise,55 / 60,,50 / 55,,40 / 50,2350.0,2450.0,"['92', '96']",99.0,40,sa3011341,94.0,2400.0,12.38,16.0,5.63,—,1.125,"6' 0""",205,R
